id	smiles	Mw	Qed	logP	Mr	HBD	HBA	RB	TPSA	AromaticRings	FractionCSP3
TKC001233	CC(C)C1=CC2=C(C(=O)C1=O)[C@@]13CCCC(C)(C)[C@@H]1CC2OC3	1	7	10	14	17	21	25	29	33	39
TKC001236	CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)[C@@H]1[C@@H](O)[C@@H]2OC3=O	1	7	10	14	18	22	25	30	34	39
TKC001253	CC(C)C1=CC2=CC(=O)[C@H]3C(C)(C)CCC[C@]3(C)C2=C(O)C1=O	1	8	10	14	17	21	25	29	33	39
TKC001355	CC(=O)O[C@H]1C[C@@H]2[C@H](C[C@@]3(O)OC(=O)C=C3[C@@H]2C)[C@@]2(C)CCCC(C)(C)[C@H]12	1	8	10	14	17	22	25	30	33	40
TKC001364	CCO[C@@]12C[C@H]3[C@@H](CCC4[C@]3(C=O)CCC[C@@]4(C)C(=O)OC)[C@@H](C)C1=CC(=O)O2	2	7	10	14	17	22	25	30	33	39
TKC001414	C=C1C(=O)OC2CC1C(OC(C)=O)C/C(C)=C/CC/C(C)=C\CCC2(C)O	1	7	10	14	17	22	25	30	33	39
TKC001525	C=CC(=C)CC[C@@]1(C)[C@@H](C)C[C@@H](O)[C@]2(C=O)C(C=O)=C[C@@H](OC(=O)C(C)CC)C[C@H]12	2	6	10	14	17	22	26	30	33	39
TKC001669	CC(C)c1ccc2c(c1O)CC[C@H]1C3=C(CC[C@]21C)C(=O)OC3	1	8	10	14	17	21	25	29	34	38
TKC001708	C=C[C@@]1(C)CCC2C(=C[C@@H](O)[C@H]3C(C)(C)CCC[C@]23CO)C1=O	1	8	10	14	17	21	25	29	33	39
TKC001745	C[C@@]12CCC[C@@](C)(C(=O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]1C[C@H](O)[C@]13C=C(CO)[C@H](CC[C@@H]21)C3	2	6	10	14	19	22	25	31	33	40
TKC001786	C=C1C(=O)[C@]23C[C@H]1CC[C@H]2[C@]1(C)CCC[C@@](C)(C(=O)O)[C@H]1C[C@@H]3O	1	8	10	14	17	21	25	30	33	40
TKC001839	C=C1C(=O)[C@@]23[C@@H](CC[C@@H]1[C@H]2O)[C@]1(C)CCCC(C)(C)[C@H]1C[C@H]3O	1	8	10	14	17	21	25	29	33	40
TKC001842	C=C1C(=O)[C@]23C[C@H]1CC[C@H]2[C@]1(C)CCC[C@](C)(COC(C)=O)[C@H]1C[C@H]3O	1	8	10	14	17	21	25	30	33	40
TKC001908	C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C[C@@H](O)C1=CC(O)OC1=O	1	8	10	14	17	21	25	30	33	39
TKC001936	C=C1CC[C@@H]2[C@](C)(CO)C(=O)CC[C@@]2(C)[C@@H]1/C=C/C1=CCOC1=O	1	8	10	14	17	21	25	30	33	39
TKC002057	COc1c(C(C)C)cc(O)c2c1CCC1=C(C)C(=O)CC[C@@]12C	1	8	10	14	17	21	25	29	34	38
TKC002066	CC(=O)c1cc2c(cc1O)[C@@]1(C)CCC[C@](C)(CO)[C@@H]1CC2	1	8	10	14	17	21	25	29	34	39
TKC002158	C=C(C=O)[C@@H]1CC[C@@H]2[C@@H](C1)C(=O)[C@@H](O)[C@@H]1C(C)(C)[C@H](O)CC[C@]12C	1	8	10	14	17	21	25	30	33	40
TKC002212	C=C1C(=O)[C@@]23CC[C@@H]4[C@@](C)(CO)CCC[C@@]4(C=O)[C@@H]2CC[C@@H]1[C@H]3O	1	8	10	14	17	21	25	30	33	40
TKC002257	C=C1C(=O)[C@]23C[C@H]1CC[C@H]2[C@]1(COC3=O)[C@@H](OC(C)=O)CCC(C)(C)[C@H]1CO	1	7	10	14	17	22	25	30	33	39
TKC002346	C=C[C@]1(C)CC[C@@]2(C)C3=CC(=O)[C@H](O)[C@](C)(CO)[C@@H]3CC[C@@H]2C1	1	8	10	14	17	21	25	29	33	39
TKC002347	C=C[C@]1(C)CC[C@@]2(C)C3=CC(=O)[C@H](O)[C@](C)(CO)[C@@H]3CC[C@@H]2C1	1	8	10	14	17	21	25	29	33	39
TKC002350	C=C[C@]1(C)CC[C@]2(C)[C@H](CC[C@H]3[C@@](C)(CO)C(=O)C=C[C@]32O)C1	1	8	10	14	17	21	25	29	33	39
TKC002360	COCC(=O)[C@H]1C(C)(C)CCC[C@]1(C)C1=C(O)C(=O)C(C(C)C)=CC1=O	1	8	10	14	17	22	26	30	33	39
TKC002371	C=C1C(=O)C2=CC1CCC(=O)C1(C)CCC(OC(C)=O)C(C)(C)C1CC2O	1	7	10	14	17	22	25	30	33	39
TKC002376	C=C1C(=O)C2=C[C@H]1C[C@H](O)C(=O)[C@]1(C)CCCC(C)(C)[C@H]1C[C@H]2O	1	8	10	14	17	21	25	30	33	39
TKC002399	CC(=O)O[C@]12CCC(C)=CC[C@]13CC[C@H]2[C@@](C)(/C=C/C=C(\C)C(=O)O)OC3=O	1	6	10	14	17	22	25	30	33	38
TKC002405	CC(=O)O[C@]12CC=C(C)[C@H](O)C[C@]13CC[C@H]2[C@@](C)(/C=C/C=C(\C)C(=O)O)OC3=O	2	6	10	14	17	22	25	30	33	38
TKC002406	CC(=O)O[C@]12CC=C(C)C(=O)C[C@]13CC[C@H]2[C@@](C)(/C=C/C=C(\C)C(=O)O)OC3=O	2	7	10	14	17	22	25	30	33	38
