TKC001135	CC(C)C1=CC(=O)C2=C(CC[C@H]3[C@@](C)(CO)C(=O)CC[C@]23C)C1=O
TKC001138	CC(=O)O[C@@H]1C[C@H]2C(C)(C)CCC[C@]2(C)C2=C1C(=O)C(C(C)C)=C(O)C2=O
TKC001173	CO[C@@]12OC(=O)C(C)=C1C=C1CC[C@@H]3C(C)(C)CCC[C@@]3(C)[C@@H]1[C@H]2O
TKC001174	CC1=C2[C@@H](O)C3=CC[C@@H]4C(C)(C)CCC[C@@]4(C)[C@@H]3[C@@H](O)[C@H]2OC1=O
TKC001176	CC1=C2C(=O)C3=C([C@@H](O)[C@H]2OC1=O)[C@]1(C)CCCC(C)(C)[C@H]1CC3
TKC001203	COc1cc2c(cc1C(C)C)C(=O)C=C1C(C)(C)CCC[C@@]12C
TKC001227	CC(C)c1cc2c(cc1O)[C@@]13CCCC(C)(C)[C@@H]1[C@H](OC3=O)[C@@H]2O
TKC001229	CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)[C@@H]1C[C@@H]2OC3=O
TKC001231	CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)[C@@H]1C[C@@H]2OC3
TKC001233	CC(C)C1=CC2=C(C(=O)C1=O)[C@@]13CCCC(C)(C)[C@@H]1CC2OC3
TKC001236	CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)[C@@H]1[C@@H](O)[C@@H]2OC3=O
TKC001253	CC(C)C1=CC2=CC(=O)[C@H]3C(C)(C)CCC[C@]3(C)C2=C(O)C1=O
TKC001355	CC(=O)O[C@H]1C[C@@H]2[C@H](C[C@@]3(O)OC(=O)C=C3[C@@H]2C)[C@@]2(C)CCCC(C)(C)[C@H]12
TKC001364	CCO[C@@]12C[C@H]3[C@@H](CCC4[C@]3(C=O)CCC[C@@]4(C)C(=O)OC)[C@@H](C)C1=CC(=O)O2
TKC001414	C=C1C(=O)OC2CC1C(OC(C)=O)C/C(C)=C/CC/C(C)=C\CCC2(C)O
TKC001525	C=CC(=C)CC[C@@]1(C)[C@@H](C)C[C@@H](O)[C@]2(C=O)C(C=O)=C[C@@H](OC(=O)C(C)CC)C[C@H]12
TKC001669	CC(C)c1ccc2c(c1O)CC[C@H]1C3=C(CC[C@]21C)C(=O)OC3
TKC001708	C=C[C@@]1(C)CCC2C(=C[C@@H](O)[C@H]3C(C)(C)CCC[C@]23CO)C1=O
TKC001745	C[C@@]12CCC[C@@](C)(C(=O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]1C[C@H](O)[C@]13C=C(CO)[C@H](CC[C@@H]21)C3
TKC001786	C=C1C(=O)[C@]23C[C@H]1CC[C@H]2[C@]1(C)CCC[C@@](C)(C(=O)O)[C@H]1C[C@@H]3O
TKC001839	C=C1C(=O)[C@@]23[C@@H](CC[C@@H]1[C@H]2O)[C@]1(C)CCCC(C)(C)[C@H]1C[C@H]3O
TKC001842	C=C1C(=O)[C@]23C[C@H]1CC[C@H]2[C@]1(C)CCC[C@](C)(COC(C)=O)[C@H]1C[C@H]3O
TKC001908	C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C[C@@H](O)C1=CC(O)OC1=O
TKC001936	C=C1CC[C@@H]2[C@](C)(CO)C(=O)CC[C@@]2(C)[C@@H]1/C=C/C1=CCOC1=O
TKC002057	COc1c(C(C)C)cc(O)c2c1CCC1=C(C)C(=O)CC[C@@]12C
TKC002066	CC(=O)c1cc2c(cc1O)[C@@]1(C)CCC[C@](C)(CO)[C@@H]1CC2
TKC002158	C=C(C=O)[C@@H]1CC[C@@H]2[C@@H](C1)C(=O)[C@@H](O)[C@@H]1C(C)(C)[C@H](O)CC[C@]12C
TKC002212	C=C1C(=O)[C@@]23CC[C@@H]4[C@@](C)(CO)CCC[C@@]4(C=O)[C@@H]2CC[C@@H]1[C@H]3O
TKC002257	C=C1C(=O)[C@]23C[C@H]1CC[C@H]2[C@]1(COC3=O)[C@@H](OC(C)=O)CCC(C)(C)[C@H]1CO
TKC002346	C=C[C@]1(C)CC[C@@]2(C)C3=CC(=O)[C@H](O)[C@](C)(CO)[C@@H]3CC[C@@H]2C1
TKC002347	C=C[C@]1(C)CC[C@@]2(C)C3=CC(=O)[C@H](O)[C@](C)(CO)[C@@H]3CC[C@@H]2C1
TKC002350	C=C[C@]1(C)CC[C@]2(C)[C@H](CC[C@H]3[C@@](C)(CO)C(=O)C=C[C@]32O)C1
TKC002360	COCC(=O)[C@H]1C(C)(C)CCC[C@]1(C)C1=C(O)C(=O)C(C(C)C)=CC1=O
TKC002371	C=C1C(=O)C2=CC1CCC(=O)C1(C)CCC(OC(C)=O)C(C)(C)C1CC2O
TKC002376	C=C1C(=O)C2=C[C@H]1C[C@H](O)C(=O)[C@]1(C)CCCC(C)(C)[C@H]1C[C@H]2O
TKC002399	CC(=O)O[C@]12CCC(C)=CC[C@]13CC[C@H]2[C@@](C)(/C=C/C=C(\C)C(=O)O)OC3=O
TKC002405	CC(=O)O[C@]12CC=C(C)[C@H](O)C[C@]13CC[C@H]2[C@@](C)(/C=C/C=C(\C)C(=O)O)OC3=O
TKC002406	CC(=O)O[C@]12CC=C(C)C(=O)C[C@]13CC[C@H]2[C@@](C)(/C=C/C=C(\C)C(=O)O)OC3=O
TKC002456	COC(=O)[C@]1(C)CCC[C@]2(COC(C)=O)c3cc4occc4c(C)c3C[C@@H](OC(C)=O)[C@@H]12
TKC002546	C=C1CCC[C@@H]2[C@]1(C)CC[C@H](C)[C@@]2(C)CCC(C)=O
TKC002585	C=C(C)[C@@H]1CCC2=C[C@H](C[C@@]3(C)O[C@@H]3C(=O)/C=C(\C)C(=O)C1)OC2=O
TKC002823	C=C[C@]1(C)CC[C@@]2(CO)C3=CC(=O)O[C@@H]3C(C)(C)CC[C@@H]2C1
TKC002824	C=C[C@]1(C)CC[C@@]2(C)C3=CC(=O)O[C@@H]3C(C)(C)C[C@H](O)[C@@H]2C1
TKC002856	CC(=O)O[C@@H]1[C@H](OC/C2=C/[C@H]3[C@@H](C[C@H](OC(=O)/C=C/c4cn(C)cn4)[C@]4(C)C=C[C@@]2(O)O4)C(C)=CC[C@@H]3C(C)C)OC[C@@H](O)[C@H]1O
TKC002859	CO[C@]12C=C[C@](C)(O1)[C@@H](OC(=O)/C=C/c1cn(C)cn1)C[C@H]1C(C)=CC[C@H](C(C)C)[C@H]1/C=C\2CO[C@@H]1OC[C@@H](O)[C@@H](OC(C)=O)[C@@H]1O
TKC002860	CO[C@]12C=C[C@](C)(O1)[C@@H](OC(=O)/C=C/c1cn(C)cn1)C[C@H]1C(C)=CC[C@H](C(C)C)[C@H]1/C=C\2CO[C@@H]1OC[C@@H](O)[C@@H](O)[C@@H]1OC(C)=O
TKC002876	C[C@H]1C[C@H]2[C@@H]3C(C)(C)O[C@]4(O)C(=O)[C@]5(O)[C@@H](C)CC[C@H]1[C@]25C(=O)[C@]34C
TKC002921	CC(C)[C@@]12C=C3[C@@H](O)C[C@@H]4[C@@](C)(C(=O)O)CCC[C@@]4(C)[C@]3(CC1)OO2
TKC002939	CCCCCCCCCC(=O)O[C@H]1C=C2[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]23[C@@H](OC2OC[C@@H](O)[C@H](O)[C@H]2O)C[C@@H](C)[C@@](C)(C[C@H](O)C2=CCOOC2)[C@@H]3C1
TKC003113	C=C(C)[C@H]1CC/C(C)=C/CC[C@@]2(C)O[C@@H]2CC/C(CO)=C\[C@@H]1O
TKC003114	C=C(C)[C@H]1CC/C(C)=C/CC[C@@]2(C)O[C@@H]2CC/C(COC(C)=O)=C\[C@@H]1O
